SEASON ,Northeast ,Southeast ,Midwest ,Rockies,Pacific Southwest,Pacific Northwest ,Pacific West (total),National Total,National Rank
2018/19 ,12.514,4.262,6.498,24.408,7.585,4.075,11.66,59.343,4
2017/18 ,11.987,4.161,6.257,20.792,6.227,3.85,10.081,53.273,24
2016/17 ,11.936,4.184,5.421,21.736,7.385,4.098,11.483,54.761,14
2015/16 ,9.346,3.957,5.516,22.287,7.48,4.206,11.686,52.792,25
2014/15 ,13.332,5.673,6.982,20.768,4.822,2,6.823,53.578,22
2013/14 ,13.386,5.769,7.695,21.1,5.154,3.387,8.541,56.491,12
2012/13 ,13.334,5.155,7.273,19.8,7.14,4.202,11.342,56.904,10
2011/12 ,11.021,4.405,6.382,19.13,6.066,3.962,10.028,50.966,32
2010/11 ,13.887,5.789,7.811,20.9,8.111,4.042,12.153,60.54,1
2009/10 ,13.411,6.016,7.718,20.378,8.411,3.853,12.264,59.787,3
2008/09 ,13.73,5.664,7.247,19.974,7.091,3.647,10.738,57.354,7
2007/08 ,14.261,5.204,8.099,21.324,7.617,3.998,11.615,60.502,2
2006/07 ,11.801,4.888,7.2,20.849,6.536,3.794,10.33,55.068,13
2006/07 ,12.505,5.839,7.787,20.717,7.916,4.133,12.049,58.897,5
2004/05 ,13.661,5.504,7.533,19.606,8.888,1.69,10.579,56.882,11
2003/04 ,12.892,5.588,7.773,18.868,8.033,3.912,11.946,57.067,9
2002/03 ,13.991,5.833,8.129,18.728,7.885,3.027,10.913,57.594,6
2001/02 ,12.188,4.994,6.98,18.123,7.947,4.179,12.126,54.411,16
2000/01 ,13.697,5.458,7.58,19.324,7.836,3.442,11.278,57.337,8
1999/00 ,12.025,5.191,6.422,18.109,6.651,3.8,10.451,52.198,28
1998/99 ,12.299,4.261,6.005,18.44,7.485,3.599,11.084,52.089,29
1997/98 ,12.712,4.343,6.707,19.191,7.918,3.251,11.169,54.122,17
1996/97 ,12.407,4.231,7.137,18.904,6.359,3.482,9.841,52.52,27
1995/96 ,13.825,5.693,7.284,18.148,6.012,3.022,9.034,53.983,19
1994/95 ,11.265,4.746,6.907,18.412,Not avail. ,Not avail. ,11.346,52.677,26
1993/94 ,13.718,5.808,7.364,17.503,Not avail. ,Not avail. ,10.244,54.637,15
1992/93 ,13.217,4.66,6.978,18.602,Not avail. ,Not avail. ,10.575,54.032,18
1991/92 ,12.252,4.425,6.535,17.687,Not avail. ,Not avail. ,9.936,50.835,33
1990/91 ,11.157,4.257,6.486,16.706,Not avail. ,Not avail. ,8.115,46.722,40
1989/90 ,13.299,4.447,6.915,16.048,Not avail. ,Not avail. ,9.311,50.02,37
1988/89 ,12.741,5.424,7.013,16.601,Not avail. ,Not avail. ,11.556,53.335,23
1987/88 ,14.421,5.885,6.783,16.564,Not avail. ,Not avail. ,10.255,53.908,20
1986/87 ,14.745,5.816,6.944,16.68,Not avail. ,Not avail. ,9.564,53.749,21
1985/86 ,12.836,5.218,7.201,16.869,Not avail. ,Not avail. ,9.797,51.921,30
1984/85 ,11.083,4.394,6.899,17.626,Not avail. ,Not avail. ,11.352,51.354,31
1983/84 ,12.087,5.175,6.961,16.801,Not avail. ,Not avail. ,9.606,50.63,35
1982/83 ,9.523,4.256,6.213,14.808,Not avail. ,Not avail. ,12.061,46.861,39
1981/82 ,11.467,5.064,7.846,15.337,Not avail. ,Not avail. ,11.004,50.718,34
1980/81 ,8.953,4.172,7.688,10.486,Not avail. ,Not avail. ,8.401,39.7,41
1979/80 ,8.655,4.23,8.682,17.16,Not avail. ,Not avail. ,9.473,48.2,38
1978/79 ,11.294,3.763,9.743,15.837,Not avail. ,Not avail. ,9.56,50.197,36